category,product_name,brand,discount_percentage,rating,rating_category,current_price_kes,original_price_kes,review_count,value_score
tablets,"Oraimo Earpods,True -Wireless Free Pods, Superior Sound Air F9 Pro +","Oraimo Earpods,True -Wireless Free Pods, Superior Sound Air F9 Pro +",85.1,3.4,Average,595.0,4000.0,0,0.595
tablets,Ofia HUNTOP HT-085 WIRELESS NECKBAND EARPHONES WITH SD CARD SLOT,Ofia HUNTOP HT-085 WIRELESS NECKBAND EARPHONES WITH SD CARD SLOT,80.6,4.6,Excellent,485.0,2500.0,0,0.702
power-banks,MK ♛40000mAh Power Bank 20000mah*2+ Dual LED Lights+ Portable Charge+ Ultra Light Battery Pack,MK ♛40000mAh Power Bank 20000mah*2+ Dual LED Lights+ Portable Charge+ Ultra Light Battery Pack,80.4,3.1,Average,1311.0,6700.0,0,0.551
tablets,Oraimo Heavy Strong Bass Wired Earphone,Oraimo Heavy Strong Bass Wired Earphone,80.1,3.0,Average,199.0,1000.0,0,0.54
smart-watches,ACE-50 Smart Watch Set Watch Ultra 3 + 2 Straps + Mini Speaker Black,ACE-50 Smart Watch Set Watch Ultra 3 + 2 Straps + Mini Speaker Black,79.5,3.3,Average,469.0,2285.0,0,0.569
smart-watches,VIC ♛True 2+16GB Full Touch Smart Watch BT Call Sport Heart Rate Health Monitor White,VIC ♛True 2+16GB Full Touch Smart Watch BT Call Sport Heart Rate Health Monitor White,78.6,4.0,Good,603.0,2814.0,0,0.636
laptops,"Lenovo ThinkPad Yoga 11e X360 - Intel Celeron, 4GB RAM, 128GB SSD, 11.6"" Touchscreen, Black","Lenovo ThinkPad Yoga 11e X360 - Intel Celeron, 4GB RAM, 128GB SSD, 11.6"" Touchscreen, Black",78.3,5.0,Excellent,12999.0,60000.0,0,0.735
smart-watches,"S9 Ultra 2 Smartwatch, Talk, 2.1-inch Full Screen","S9 Ultra 2 Smartwatch, Talk, 2.1-inch Full Screen",77.0,3.5,Good,590.0,2561.0,0,0.581
laptops,"HP REFURBISHED EliteBook 840 G1 Intel Core I5 14"" Inch 4GB RAM 500GB HDD Win10, 6 Months WRTY","HP REFURBISHED EliteBook 840 G1 Intel Core I5 14"" Inch 4GB RAM 500GB HDD Win10, 6 Months WRTY",75.7,4.0,Good,16980.0,70000.0,0,0.627
laptops,"Lenovo X270 Intel Core I5-Refurbished-8GB RAM 256GB SSD Windows 10 Pro Laptop, 6 Months WRTY","Lenovo X270 Intel Core I5-Refurbished-8GB RAM 256GB SSD Windows 10 Pro Laptop, 6 Months WRTY",75.7,3.5,Good,17000.0,70000.0,0,0.577
tablets,"Apple, Iphone Earphone With USB-C Connector EarPods","Apple, Iphone Earphone With USB-C Connector EarPods",75.5,5.0,Excellent,490.0,1999.0,0,0.726
power-banks,10000mAh Small Size Unique Design 2A Fast Charger with 2-in-2-out Fast Charging Power Bank,10000mAh Small Size Unique Design  2A Fast Charger with 2-in-2-out Fast Charging Power Bank,74.3,3.7,Good,474.0,1843.0,0,0.593
smart-watches,2.09''inch T900U Smart Watch Dual Band 2-in-1 With Bluetooth Headset,2.09''inch T900U  Smart Watch Dual Band 2-in-1 With Bluetooth Headset,73.9,3.2,Average,630.0,2412.0,0,0.542
smartphones,"Safaricom Neon Smarta 2, 5"", 32GB + 2GB RAM (Dual SIM), 3300mAh, Black","Safaricom Neon Smarta 2, 5"", 32GB + 2GB RAM (Dual SIM), 3300mAh, Black",73.1,4.0,Good,3599.0,13400.0,0,0.619
laptops,Chromebook 100e – 4GB RAM 32GB SSD – Durable Student Laptop refurbished,Chromebook 100e – 4GB RAM 32GB SSD – Durable Student Laptop refurbished,71.7,4.0,Good,6799.0,24000.0,0,0.615
