product_name,brand,current_price_kes,original_price_kes,discount_percentage,rating,review_count,product_url,is_smartphone,scraped_at
"Redmi 15C By Xiaomi, 6.9"", 4GB RAM + 128GB (Dual SIM), 6000mAh, Black (25 Months Warranty)",Xiaomi,14699,16800,12.5,4.2,0,https://www.jumia.co.ke/redmi-15c-byxiaomi-6.9-4gb-ram-128gb-dual-sim-6000mah-black-25-months-warranty-325490535.html,TRUE,07/23/26 19:47
"Samsung Galaxy A06, 6.7"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black(2YRs WRTY)",Samsung,10900,12600,13.5,4.5,0,https://www.jumia.co.ke/samsung-galaxy-a06-6.7-64gb-4gb-ram-dual-sim-5000mah-black2yrs-wrty-313825652.html,TRUE,07/23/26 19:47
Ruioo RUIOO S25 Ultra Android Smartphone 8GB + 128GB 6.8 inches,Ruioo,10050,13400,25,3.5,0,https://www.jumia.co.ke/ruioo-ruioo-s25-ultra-android-smartphone-8gb-128gb-6.8-inches-327386343.html,TRUE,07/23/26 19:47
"XIAOMI Redmi A5, 6.88"", 64GB + 3GB RAM (Dual SIM), 5200mAh, Midnight Black",Xiaomi,10600,13000,18.5,4.1,0,https://www.jumia.co.ke/xiaomi-redmi-a5-6.88-64gb-3gb-ram-dual-sim-5200mah-midnight-black-314449293.html,TRUE,07/23/26 19:47
Ruioo RUIOO S25 Ultra Android Smartphone 8GB + 128GB 6.8 inches,Ruioo,10050,13400,25,3.8,0,https://www.jumia.co.ke/ruioo-ruioo-s25-ultra-android-smartphone-8gb-128gb-6.8-inches-327386541.html,TRUE,07/23/26 19:47
"Tecno Spark 50 4G, 6.78'', 128GB + 4GB RAM (+8GB Extended), 7000mAh (Dual SIM)- Black",Tecno,16570,18000,7.9,4.3,0,https://www.jumia.co.ke/tecno-spark-50-4g-6.78-128gb-4gb-ram-8gb-extended-7000mah-dual-sim-black-327639441.html,TRUE,07/23/26 19:47
Ruioo RUIOO S25 Ultra Android Smartphone 8GB + 128GB 6.8 inches,Ruioo,10050,13400,25,3.6,0,https://www.jumia.co.ke/ruioo-ruioo-s25-ultra-android-smartphone-8gb-128gb-6.8-inches-327386510.html,TRUE,07/23/26 19:47
"Redmi 15C By Xiaomi, 4G, 6.9"", 8GB RAM + 256GB, 6000mAh, Black (25 Months Warranty)",Xiaomi,20840,23000,9.4,4.3,0,https://www.jumia.co.ke/redmi-15c-byxiaomi-4g-6.9-8gb-ram-256gb-6000mah-black-25-months-warranty-327673478.html,TRUE,07/23/26 19:47
"Samsung Galaxy A17 5G, 6.7"", 4GB RAM + 128GB, 5000mAh, Black (2YRs WRTY)",Samsung,18999,24000,20.8,4.1,0,https://www.jumia.co.ke/samsung-galaxy-a17-5g-6.7-4gb-ram-128gb-5000mah-black-2yrs-wrty-326021589.html,TRUE,07/23/26 19:47
"Samsung A06, 6.7"", 4GB RAM+ 64GB (Dual SIM), 5000mAh, Blue (2YR WRTY).",Samsung,11295,12600,10.4,4.5,0,https://www.jumia.co.ke/samsung-a06-6.7-4gb-ram-64gb-dual-sim-5000mah-blue-2yr-wrty.-327817370.html,TRUE,07/23/26 19:47
"XIAOMI Redmi Note 15, 6.8"", 6GB RAM + 128GB, 6000mAh, Black (25 Months Warranty)",Xiaomi,27110,30000,9.6,4.3,0,https://www.jumia.co.ke/xiaomi-redmi-note-15-6.8-6gb-ram-128gb-6000mah-black-25-months-warranty-327051273.html,TRUE,07/23/26 19:47
"XIAOMI Redmi A7 Pro, 6.9"", 128GB + 4GB RAM (Dual Sim), 6000mAh - Black",Xiaomi,14850,16000,7.2,4,0,https://www.jumia.co.ke/xiaomi-redmi-a7-pro-6.9-128gb-4gb-ram-dual-sim-6000mah-black-327531871.html,TRUE,07/23/26 19:47
