Category,Product Name,Brand,Price (KSh),Original Price (KSh),Discount %,High Discount Flag,Rating,Review Count,Product URL,Scraped Date,Storage (GB),RAM (GB),Battery (mAh),Camera (MP),Rating Category,Price Category,Value Score
smartphones,"Redmi 15C By Xiaomi, 6.9"", 4GB RAM + 128GB (Dual SIM), 6000mAh, Black (25 Months Warranty)","Redmi 15C By Xiaomi, 6.9"", 4GB RAM + 128GB (Dual SIM), 6000mAh, Black (25 Months Warranty)",15330,16800,8.8,FALSE,4.2,0,https://www.jumia.co.ke/redmi-15c-byxiaomi-6.9-4gb-ram-128gb-dual-sim-6000mah-black-25-months-warranty-325490535.html,07/26/26 13:39,4,4,6000,,Good,Mid-Range (15k-30k),0.446
smartphones,Ruioo RUIOO S25 Ultra Android Smartphone 8GB + 128GB 6.8 inches,Ruioo RUIOO S25 Ultra Android Smartphone 8GB + 128GB 6.8 inches,10050,13400,25,FALSE,3.6,0,https://www.jumia.co.ke/ruioo-ruioo-s25-ultra-android-smartphone-8gb-128gb-6.8-inches-327386343.html,07/26/26 13:39,8,,,,Good,Entry (5k-15k),0.435
smartphones,"XIAOMI Redmi A5, 6.88"", 64GB + 3GB RAM (Dual SIM), 5200mAh, Midnight Black","XIAOMI Redmi A5, 6.88"", 64GB + 3GB RAM (Dual SIM), 5200mAh, Midnight Black",10600,13000,18.5,FALSE,4.2,0,https://www.jumia.co.ke/xiaomi-redmi-a5-6.88-64gb-3gb-ram-dual-sim-5200mah-midnight-black-314449293.html,07/26/26 13:39,64,3,5200,,Good,Entry (5k-15k),0.476
smartphones,"Safaricom Neon Smarta 2, 5"", 32GB + 2GB RAM (Dual SIM), 3300mAh, Black","Safaricom Neon Smarta 2, 5"", 32GB + 2GB RAM (Dual SIM), 3300mAh, Black",3599,13400,73.1,TRUE,4,0,https://www.jumia.co.ke/safaricom-neon-smarta-2-5-32gb-2gb-ram-dual-sim-3300mah-black-326117242.html,07/26/26 13:39,32,2,3300,,Good,Budget (<5k),0.619
smartphones,"Redmi 15C By Xiaomi, 4G, 6.9"", 8GB RAM + 256GB, 6000mAh, Black (25 Months Warranty)","Redmi 15C By Xiaomi, 4G, 6.9"", 8GB RAM + 256GB, 6000mAh, Black (25 Months Warranty)",20840,23000,9.4,FALSE,4.3,0,https://www.jumia.co.ke/redmi-15c-byxiaomi-4g-6.9-8gb-ram-256gb-6000mah-black-25-months-warranty-327673478.html,07/26/26 13:39,8,8,6000,,Good,Mid-Range (15k-30k),0.458
smartphones,"Samsung Galaxy A06 6.7 inch HD+ Display, 4GB RAM, 64GB Storage, 50MP Camera, 5000mAh Battery, Dual SIM, 2 Year Warranty - Black","Samsung Galaxy A06 6.7 inch HD+ Display, 4GB RAM, 64GB Storage, 50MP Camera, 5000mAh Battery, Dual SIM, 2 Year Warranty - Black",11130,21130,47.3,FALSE,4.3,0,https://www.jumia.co.ke/samsung-galaxy-a06-6.7-inch-hd-display-4gb-ram-64gb-storage-50mp-camera-5000mah-battery-dual-sim-2-year-warranty-black-328083840.html,07/26/26 13:39,64,4,5000,50,Good,Entry (5k-15k),0.572
smartphones,"Samsung Galaxy A17 5G, 6.7"", 4GB RAM + 128GB, 5000mAh, Black (2YRs WRTY)","Samsung Galaxy A17 5G, 6.7"", 4GB RAM + 128GB, 5000mAh, Black (2YRs WRTY)",18999,24000,20.8,FALSE,4.1,0,https://www.jumia.co.ke/samsung-galaxy-a17-5g-6.7-4gb-ram-128gb-5000mah-black-2yrs-wrty-326021589.html,07/26/26 13:39,4,4,5000,,Good,Mid-Range (15k-30k),0.472
smartphones,"Redmi 15C By Xiaomi Smartphone, 6.88"", 8GB RAM (4+4GB) +128GB, 5000mAh + I12 WATCH (1 TR WRTY), BLACK","Redmi 15C By Xiaomi Smartphone, 6.88"", 8GB RAM (4+4GB) +128GB, 5000mAh + I12 WATCH (1 TR WRTY), BLACK",15550,25000,37.8,FALSE,4.1,0,https://www.jumia.co.ke/redmi-15c-by-xiaomi-smartphone-6.88-8gb-ram-44gb-128gb-5000mah-i12-watch-1-tr-wrty-black-325223424.html,07/26/26 13:39,8,8,5000,,Good,Mid-Range (15k-30k),0.523
smartphones,"Samsung Galaxy A16, 6.7"", 4GB RAM + 128GB (Dual SIM), 5000mAh + Free Gifts - Grey","Samsung Galaxy A16, 6.7"", 4GB RAM + 128GB (Dual SIM), 5000mAh + Free Gifts - Grey",17690,25000,29.2,FALSE,4.2,0,https://www.jumia.co.ke/samsung-galaxy-a16-6.7-4gb-ram-128gb-dual-sim-5000mah-free-gifts-grey-299889178.html,07/26/26 13:39,4,4,5000,,Good,Mid-Range (15k-30k),0.508
smartphones,"XIAOMI Redmi A7 Pro, 6.9"", 128GB + 4GB RAM (Dual Sim), 6000mAh - Black","XIAOMI Redmi A7 Pro, 6.9"", 128GB + 4GB RAM (Dual Sim), 6000mAh - Black",14850,16000,7.2,FALSE,4,0,https://www.jumia.co.ke/xiaomi-redmi-a7-pro-6.9-128gb-4gb-ram-dual-sim-6000mah-black-327531871.html,07/26/26 13:39,128,4,6000,,Good,Entry (5k-15k),0.422
